# A0 resolution/history convergence sweep — see
# docs/a0_transport_resolution_decision.md for the decision and
# data/parameter_provenance.csv for what these rows are allowed to
# rank (sensitivity_domain = transport_numerical only).
#
# Geometry, materials and spectrum are HELD FIXED throughout; only
# the tally resolution and the history count move. Per source
# particle: no source activity is involved.
#
# zero_score_fraction_roi counts bins INSIDE the cylinder only —
# the mesh spans the circumscribing cube, so ~21.5% of bins are
# void by construction and must score zero.
# field_diff_vs_reference aggregates the reference's DEPOSITED
# ENERGY onto each grid before comparing; it is not a mean of
# per-bin dose.
# peak_child_rss_kb_cumulative is a running high-water mark across
# all child processes, so only the largest value is meaningful.
coarsening_factor,mesh_nx,mesh_ny,mesh_nz,bin_volume_cm3,batches,particles,histories,seed,roi_bins,total_heating_eV_per_src,absorbed_fraction,zero_score_fraction_roi,heating_floor_eV,bins_above_floor,median_rel_err,p90_rel_err,max_rel_err,mass_weighted_mean_dose_Gy_per_src,total_mass_kg,field_diff_vs_reference,resolution_loss_vs_reference,runtime_s,histories_per_s,statepoint_bytes,peak_child_rss_kb_cumulative
2,24,24,24,1.953125,80,50000,4000000,3,10752,310745.78054157435,0.46964925911777944,0.0,0.0,10752,0.06699682232199317,0.10045387315944584,0.19315329432052616,2.3566435036533885e-15,27.0,0.032054459290413444,0.18325973969082365,2.549,1569262,243624,186948
2,24,24,24,1.953125,80,50000,4000000,4,10752,310700.0734932213,0.469580179237248,0.0,0.0,10752,0.0670742412036992,0.10045567949504783,0.19421977120648326,2.3563381873590797e-15,27.0,0.03210749975258765,0.1831681248954304,2.451,1631923,243624,186948
2,24,24,24,1.953125,80,50000,4000000,5,10752,310842.887620832,0.4697960230344092,0.0,0.0,10752,0.067137385314547,0.10079239173894315,0.19602078031177994,2.3573973308043964e-15,27.0,0.03242416966481223,0.1833811120179126,2.433,1644127,243624,186948
2,24,24,24,1.953125,320,50000,16000000,1,10752,310743.99060711346,0.46964655387945903,0.0,0.0,10752,0.03381859320388897,0.05017734790409272,0.08339228043607377,2.3567200850559103e-15,27.0,0.017362592225491972,0.17736986186643844,10.254,1560370,243624,186948
2,24,24,24,1.953125,320,50000,16000000,2,10752,310772.0679551596,0.46968898890684657,0.0,0.0,10752,0.033800126284647986,0.050202561783411453,0.08668145897019185,2.3570311268035815e-15,27.0,0.01784935837653503,0.17757437378944316,9.16,1746685,243624,186948
2,24,24,24,1.953125,320,50000,16000000,3,10752,310826.7478665528,0.469771630028569,0.0,0.0,10752,0.03369833104931319,0.05002322891775536,0.0872497599682498,2.3573111635394116e-15,27.0,0.01748091155008491,0.17746513505777486,9.32,1716650,243624,186948
2,24,24,24,1.953125,320,50000,16000000,4,10752,310754.62360792817,0.4696626241892348,0.0,0.0,10752,0.033744733023618655,0.05015668415414298,0.0848044041439983,2.356838963035499e-15,27.0,0.01739990802974397,0.17735241191044993,9.452,1692780,243624,186948
2,24,24,24,1.953125,320,50000,16000000,5,10752,310830.98025924084,0.46977802670461316,0.0,0.0,10752,0.03380401520463074,0.050067497007512035,0.08575738506868455,2.3573761583025117e-15,27.0,0.01753511794060882,0.1774299839651086,9.119,1754515,243624,186948
4,12,12,12,15.625,5,50000,250000,1,1344,310615.7105548823,0.46945267632660875,0.0,0.0,1344,0.08399447873805868,0.16472564349558605,0.323957048210735,2.345813522096466e-15,27.0,0.04375164291100562,0.31526542149429293,0.273,916796,50088,186948
4,12,12,12,15.625,5,50000,250000,2,1344,311620.81585564447,0.47097175394373875,0.0,0.0,1344,0.08663739339711789,0.1579372608762715,0.3195614404830114,2.3528809016677805e-15,27.0,0.045994529323989806,0.31622436700329176,0.33,758047,50088,186948
