# openmc_debiased_effects — THE GATE INPUT. One row per
# (scenario, mesh_factor, outer_draw); there is deliberately no
# replicate column, because the U-statistic runs over ordered
# replicate PAIRS r != s and consumes that dimension.
#
# s_hat estimates ||E[d]||^2_W with no noise term, because for
# independent replicates E[d_r^T W d_s] = E[d_r]^T W E[d_s].
# IT MAY BE NEGATIVE, and that is the point: an unbiased
# estimate of a non-negative quantity must fall below zero
# about half the time when the true effect is zero. A negative
# row is evidence of no effect, never a defect.
#
# e_squared = s_hat / (debiased ||D0||^2_W) and is compared
# against delta^2. Do NOT take its square root before gating:
# a root near zero reintroduces the positive bias this exists
# to remove.
# jackknife_var is the delete-one-replicate variance OF THE
# RATIO, since the ratio is what the gate consumes.
#
# provenance: git_commit=9987a75a6a2451661bd4c583344ad6ff414b29c9-dirty
#   (names the PARENT commit; an artifact cannot name the commit that contains it)
# provenance: openmc_version=0.15.3
# provenance: nuclear_data=endfb-viii.0-hdf5/cross_sections.xml sha256=200cc6b97aa8cacc (endfb-viii.0-hdf5.tar.xz.sha256)
# provenance: particles=5000 batches=20 replicates=3 outer_draws=4
# provenance: mesh_factors=1,2,4,5 volume_samples=500000
# provenance: threshold_policy_id=synthetic_gate_contract_v1 metric_id=debiased_relative_l2_squared
# provenance: snapshot=snap.h5 config=reference_synthetic_biofilm_e2e.toml
# provenance: argv=--snapshot /tmp/claude-1000/-home-aurascoper-Developer-Biofilms/e77a47ab-b7f6-4c9e-b2f8-752fd9a9a76e/scratchpad/snap.h5 --config config/reference_synthetic_biofilm_e2e.toml --outdir artifacts/pilot --levers --include-near-threshold --publish --budget-seconds 2400
scenario,mesh_factor,outer_draw,density_g_cm3,paired_seeds,omega_b_bins,s_hat,denominator,e_squared,n_replicates,jackknife_var,metric_id
noise_floor,2,1,1.0513908517888564,False,215,4.2467186561641734e-32,1.854140930366629e-27,2.2903969092168455e-05,3,5.037944284871067e-09,debiased_relative_l2_squared
noise_floor,2,2,1.0783664227045724,False,215,1.5911390605701427e-31,1.901545555963215e-27,8.367609472096828e-05,3,1.336778685214352e-08,debiased_relative_l2_squared
noise_floor,2,3,1.0770802561698172,False,215,4.761330246070187e-31,1.9260169107586014e-27,0.0002472112378387602,3,1.522327686434845e-07,debiased_relative_l2_squared
clearly_detectable,2,0,1.0538425200611092,True,215,1.2648622653715921e-28,1.9169445046919577e-27,0.0659832489816834,3,7.06195463000479e-07,debiased_relative_l2_squared
clearly_detectable,2,1,1.0513908517888564,True,215,1.259080440991779e-28,1.8541409303666294e-27,0.06790640454406097,3,7.723876763297177e-07,debiased_relative_l2_squared
clearly_detectable,2,2,1.0783664227045724,True,215,1.2979874394876048e-28,1.9015455559632143e-27,0.06825960258575654,3,5.951805530590419e-07,debiased_relative_l2_squared
clearly_detectable,2,3,1.0770802561698172,True,215,1.2982637998967494e-28,1.9260169107586014e-27,0.06740666671433333,3,2.4589312978884825e-07,debiased_relative_l2_squared
lever_density_x1.35,2,0,1.0538425200611092,True,215,3.093597946739701e-31,1.9169445046919574e-27,0.00016138171653731965,3,8.711903397290248e-10,debiased_relative_l2_squared
lever_density_x1.35,2,1,1.0513908517888564,True,215,2.7590729342747806e-31,1.8541409303666294e-27,0.00014880599899864215,3,8.600534309238332e-11,debiased_relative_l2_squared
lever_density_x1.35,2,2,1.0783664227045724,True,215,2.9138671251957325e-31,1.9015455559632147e-27,0.0001532367771078581,3,5.189677661617567e-09,debiased_relative_l2_squared
lever_density_x1.35,2,3,1.0770802561698172,True,215,3.0217116870530857e-31,1.926016910758601e-27,0.0001568891565891248,3,2.1962462200575005e-10,debiased_relative_l2_squared
lever_density_x1.35_unpaired,2,0,1.0538425200611092,False,215,5.04174515357741e-31,1.9169445046919585e-27,0.0002630094476515682,3,1.359311658855971e-07,debiased_relative_l2_squared
lever_density_x1.35_unpaired,2,1,1.0513908517888564,False,215,3.5300119476980726e-31,1.8541409303666294e-27,0.0001903853094381593,3,5.127725687982984e-09,debiased_relative_l2_squared
lever_density_x1.35_unpaired,2,2,1.0783664227045724,False,215,1.6684437647274636e-31,1.9015455559632147e-27,8.774145639031641e-05,3,5.926689962632151e-09,debiased_relative_l2_squared
lever_density_x1.35_unpaired,2,3,1.0770802561698172,False,215,5.732247368046204e-31,1.926016910758601e-27,0.000297621860744122,3,7.042113449460256e-08,debiased_relative_l2_squared
lever_Fe_5pct,2,0,1.0538425200611092,True,215,2.417948813451435e-32,1.9169445046919577e-27,1.2613556665480964e-05,3,1.9046953045346e-12,debiased_relative_l2_squared
lever_Fe_5pct,2,1,1.0513908517888564,True,215,2.290360400392389e-32,1.854140930366629e-27,1.2352676988471981e-05,3,1.5451062286198925e-12,debiased_relative_l2_squared
lever_Fe_5pct,2,2,1.0783664227045724,True,215,2.594882954112427e-32,1.9015455559632147e-27,1.364617821526767e-05,3,1.1597022508266885e-12,debiased_relative_l2_squared
lever_Fe_5pct,2,3,1.0770802561698172,True,215,2.4394387615365446e-32,1.9260169107586007e-27,1.2665718290997363e-05,3,6.074089329009804e-12,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,2,0,1.0538425200611092,False,215,1.441241725717194e-31,1.9169445046919585e-27,7.518432183036999e-05,3,9.696389667691505e-08,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,2,1,1.0513908517888564,False,215,5.716529028931541e-32,1.8541409303666286e-27,3.083114630235352e-05,3,3.710950216710991e-09,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,2,2,1.0783664227045724,False,215,1.7284561892167975e-31,1.9015455559632147e-27,9.089743781296158e-05,3,1.4538492604096174e-08,debiased_relative_l2_squared
