# melanin ensemble sweep
# N=40 parcels_per_species=6 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
46,400,1,C. neoformans,0.1000,700,6,2.719672
46,400,2,D. radiodurans,0.0000,696,6,1.231801
46,400,3,C. sphaerospermum,0.1400,696,6,3.245764
46,400,4,B. subtilis,0.0000,695,6,0.730476
46,400,5,A. niger,0.0650,695,6,1.610227
46,400,6,S. oneidensis,0.0000,699,6,1.115349
46,400,7,O. intermedium AM7,0.0000,695,6,0.880850
47,0,1,C. neoformans,0.1000,288,6,0.000000
47,0,2,D. radiodurans,0.0000,378,6,0.000000
47,0,3,C. sphaerospermum,0.1400,434,6,0.000000
47,0,4,B. subtilis,0.0000,462,6,0.000000
47,0,5,A. niger,0.0650,450,6,0.000000
47,0,6,S. oneidensis,0.0000,558,6,0.000000
47,0,7,O. intermedium AM7,0.0000,443,6,0.000000
47,100,1,C. neoformans,0.1000,695,6,1.097455
47,100,2,D. radiodurans,0.0000,699,6,0.230430
47,100,3,C. sphaerospermum,0.1400,697,6,1.393409
47,100,4,B. subtilis,0.0000,695,6,0.130006
47,100,5,A. niger,0.0650,703,6,1.087161
47,100,6,S. oneidensis,0.0000,699,6,0.086255
47,100,7,O. intermedium AM7,0.0000,696,6,0.131932
47,200,1,C. neoformans,0.1000,698,6,1.541139
47,200,2,D. radiodurans,0.0000,699,6,0.493512
47,200,3,C. sphaerospermum,0.1400,699,6,1.897826
47,200,4,B. subtilis,0.0000,698,6,0.282485
47,200,5,A. niger,0.0650,702,6,1.722344
47,200,6,S. oneidensis,0.0000,698,6,0.238907
47,200,7,O. intermedium AM7,0.0000,695,6,0.313753
47,300,1,C. neoformans,0.1000,698,6,1.833966
47,300,2,D. radiodurans,0.0000,702,6,0.694350
47,300,3,C. sphaerospermum,0.1400,699,6,2.206216
47,300,4,B. subtilis,0.0000,699,6,0.406192
47,300,5,A. niger,0.0650,701,6,2.140182
