# melanin ensemble sweep
# N=20 parcels_per_species=2 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
48,200,5,A. niger,0.0650,235,2,1.672427
48,200,6,S. oneidensis,0.0000,233,2,0.934055
48,200,7,O. intermedium AM7,0.0000,234,2,1.282192
48,300,1,C. neoformans,0.1000,237,2,3.108868
48,300,2,D. radiodurans,0.0000,235,2,1.411719
48,300,3,C. sphaerospermum,0.1400,235,2,3.003384
48,300,4,B. subtilis,0.0000,235,2,1.247691
48,300,5,A. niger,0.0650,234,2,2.043234
48,300,6,S. oneidensis,0.0000,233,2,1.281377
48,300,7,O. intermedium AM7,0.0000,235,2,1.760791
48,400,1,C. neoformans,0.1000,234,2,3.652358
48,400,2,D. radiodurans,0.0000,234,2,1.725465
48,400,3,C. sphaerospermum,0.1400,233,2,3.441748
48,400,4,B. subtilis,0.0000,235,2,1.485062
48,400,5,A. niger,0.0650,233,2,2.383397
48,400,6,S. oneidensis,0.0000,231,2,1.554838
48,400,7,O. intermedium AM7,0.0000,233,2,2.143743
49,0,1,C. neoformans,0.1000,246,2,0.000000
49,0,2,D. radiodurans,0.0000,35,2,0.000000
49,0,3,C. sphaerospermum,0.1400,244,2,0.000000
49,0,4,B. subtilis,0.0000,182,2,0.000000
49,0,5,A. niger,0.0650,144,2,0.000000
49,0,6,S. oneidensis,0.0000,118,2,0.000000
49,0,7,O. intermedium AM7,0.0000,69,2,0.000000
49,100,1,C. neoformans,0.1000,235,2,1.532561
49,100,2,D. radiodurans,0.0000,234,2,0.667150
49,100,3,C. sphaerospermum,0.1400,236,2,2.249591
49,100,4,B. subtilis,0.0000,232,2,0.496737
49,100,5,A. niger,0.0650,233,2,1.172932
49,100,6,S. oneidensis,0.0000,234,2,0.151702
49,100,7,O. intermedium AM7,0.0000,232,2,0.384158
49,200,1,C. neoformans,0.1000,236,2,2.728197
49,200,2,D. radiodurans,0.0000,235,2,1.265211
49,200,3,C. sphaerospermum,0.1400,235,2,3.394339
49,200,4,B. subtilis,0.0000,234,2,1.012674
49,200,5,A. niger,0.0650,232,2,1.847540
49,200,6,S. oneidensis,0.0000,233,2,0.405195
49,200,7,O. intermedium AM7,0.0000,233,2,0.788153
49,300,1,C. neoformans,0.1000,236,2,3.560142
49,300,2,D. radiodurans,0.0000,236,2,1.817720
49,300,3,C. sphaerospermum,0.1400,235,2,4.117454
49,300,4,B. subtilis,0.0000,233,2,1.451701
49,300,5,A. niger,0.0650,234,2,2.348016
49,300,6,S. oneidensis,0.0000,234,2,0.699781
49,300,7,O. intermedium AM7,0.0000,234,2,1.137977
49,400,1,C. neoformans,0.1000,235,2,4.090630
49,400,2,D. radiodurans,0.0000,235,2,2.224482
49,400,3,C. sphaerospermum,0.1400,236,2,4.658931
49,400,4,B. subtilis,0.0000,233,2,1.779605
49,400,5,A. niger,0.0650,234,2,2.791451
49,400,6,S. oneidensis,0.0000,235,2,0.973294
49,400,7,O. intermedium AM7,0.0000,234,2,1.479284
50,0,1,C. neoformans,0.1000,66,2,0.000000
50,0,2,D. radiodurans,0.0000,64,2,0.000000
50,0,3,C. sphaerospermum,0.1400,50,2,0.000000
50,0,4,B. subtilis,0.0000,156,2,0.000000
50,0,5,A. niger,0.0650,238,2,0.000000
50,0,6,S. oneidensis,0.0000,104,2,0.000000
50,0,7,O. intermedium AM7,0.0000,96,2,0.000000
50,100,1,C. neoformans,0.1000,235,2,2.138506
50,100,2,D. radiodurans,0.0000,235,2,0.701407
50,100,3,C. sphaerospermum,0.1400,234,2,2.387938
50,100,4,B. subtilis,0.0000,234,2,0.483725
50,100,5,A. niger,0.0650,233,2,0.942989
50,100,6,S. oneidensis,0.0000,234,2,0.258539
50,100,7,O. intermedium AM7,0.0000,235,2,0.572903
50,200,1,C. neoformans,0.1000,234,2,3.192048
50,200,2,D. radiodurans,0.0000,235,2,1.447318
50,200,3,C. sphaerospermum,0.1400,233,2,3.453080
50,200,4,B. subtilis,0.0000,233,2,0.979386
50,200,5,A. niger,0.0650,233,2,1.512399
50,200,6,S. oneidensis,0.0000,234,2,0.666436
50,200,7,O. intermedium AM7,0.0000,235,2,1.143590
50,300,1,C. neoformans,0.1000,233,2,3.810328
50,300,2,D. radiodurans,0.0000,234,2,1.894980
50,300,3,C. sphaerospermum,0.1400,234,2,4.191882
50,300,4,B. subtilis,0.0000,234,2,1.366922
50,300,5,A. niger,0.0650,233,2,1.975533
50,300,6,S. oneidensis,0.0000,234,2,1.015866
50,300,7,O. intermedium AM7,0.0000,234,2,1.589952
50,400,1,C. neoformans,0.1000,235,2,4.274396
50,400,2,D. radiodurans,0.0000,235,2,2.316942
50,400,3,C. sphaerospermum,0.1400,234,2,4.627844
50,400,4,B. subtilis,0.0000,234,2,1.667724
50,400,5,A. niger,0.0650,233,2,2.363352
50,400,6,S. oneidensis,0.0000,233,2,1.326729
50,400,7,O. intermedium AM7,0.0000,234,2,1.936767
51,0,1,C. neoformans,0.1000,246,2,0.000000
51,0,2,D. radiodurans,0.0000,245,2,0.000000
51,0,3,C. sphaerospermum,0.1400,240,2,0.000000
51,0,4,B. subtilis,0.0000,146,2,0.000000
51,0,5,A. niger,0.0650,149,2,0.000000
51,0,6,S. oneidensis,0.0000,2,2,0.000000
51,0,7,O. intermedium AM7,0.0000,26,2,0.000000
51,100,1,C. neoformans,0.1000,234,2,1.369183
51,100,2,D. radiodurans,0.0000,234,2,0.537566
51,100,3,C. sphaerospermum,0.1400,235,2,2.242756
51,100,4,B. subtilis,0.0000,235,2,0.382678
51,100,5,A. niger,0.0650,233,2,1.540213
51,100,6,S. oneidensis,0.0000,235,2,0.433554
51,100,7,O. intermedium AM7,0.0000,234,2,0.638468
51,200,1,C. neoformans,0.1000,233,2,2.074821
51,200,2,D. radiodurans,0.0000,233,2,1.031711
51,200,3,C. sphaerospermum,0.1400,234,2,3.366662
51,200,4,B. subtilis,0.0000,236,2,0.795059
51,200,5,A. niger,0.0650,234,2,2.568151
51,200,6,S. oneidensis,0.0000,235,2,0.909975
51,200,7,O. intermedium AM7,0.0000,233,2,1.162405
51,300,1,C. neoformans,0.1000,233,2,2.528644
51,300,2,D. radiodurans,0.0000,234,2,1.403699
